solar,wind,bio,hydro,fossil
12,46,48,34,20
35,32,57,5,23
75,62,66,98,32
2,58,74,71,41
91,91,86,7,16
58,84,81,98,13
54,36,68,87,60
42,27,33,80,10
33,58,38,60,25
37,48,33,10,58
58,11,59,94,13
67,88,87,32,55
58,97,99,35,19
28,71,95,85,52
16,59,16,98,28
16,13,94,94,72
52,38,31,58,33
96,38,46,62,11
74,97,24,91,16
2,85,98,77,88
69,69,32,36,54
58,95,47,96,78
12,50,92,44,72
7,28,44,14,39
97,48,83,69,98
77,17,16,45,97
58,93,3,73,28
15,36,97,99,41
75,79,85,21,14
11,40,95,19,41
20,62,60,21,35
54,74,25,61,77
20,72,79,96,71
1,42,90,97,31
77,93,55,14,3
11,47,100,89,96
29,38,15,88,29
86,12,77,93,84
29,91,33,27,29
68,13,48,61,56
4,15,66,30,53
96,34,10,95,14
45,52,10,33,31
1,61,54,67,91
7,5,67,85,31
15,23,27,47,29
59,87,12,28,36
72,24,15,12,6
55,83,27,80,48
30,77,42,72,50
8,66,99,60,86
33,79,18,96,16
22,31,30,57,62
90,92,41,50,3
22,1,21,75,72
61,93,43,89,99
75,24,45,32,1
50,99,71,31,39
82,61,93,76,79
83,25,36,87,23
98,68,82,87,94
84,96,79,1,67
54,80,13,40,25
48,71,83,5,31
46,78,25,7,54
75,4,45,89,36
31,53,64,78,53
93,92,94,69,85
59,74,85,23,45
91,13,16,48,97
10,95,84,63,2
49,94,76,57,82
85,42,14,54,27
99,94,54,59,4
5,84,75,72,83
76,38,53,40,13
24,68,61,6,52
4,61,43,6,23
20,97,95,60,22
22,64,32,83,99
59,52,68,27,69
19,91,67,18,49
60,33,60,74,97
33,42,21,46,79
13,29,58,74,38
88,53,17,91,34
3,17,14,18,42
17,26,96,48,14
91,84,40,81,4
17,88,21,38,76
8,51,57,36,22
95,34,64,1,16
10,38,31,89,78
37,59,47,22,78
56,29,93,38,38
75,17,37,62,74
67,83,40,85,26
18,27,27,18,42
82,80,94,7,87
87,51,11,66,50
14,41,17,17,58
79,72,65,10,76
20,66,26,71,19
34,13,85,58,44
88,48,55,3,6
65,65,48,46,44
84,38,7,49,21
22,6,84,80,90
97,72,8,22,28
56,58,50,22,88
92,65,4,97,72
39,46,40,12,85
52,51,20,43,5
41,68,46,60,59
31,6,14,86,44
68,68,66,26,6
77,56,24,18,45
72,12,81,96,46
86,85,90,38,39
3,42,74,86,86
11,80,25,58,38
34,62,16,52,53
16,100,75,69,42
82,36,88,53,3
57,100,72,97,81
84,2,14,99,18
70,51,10,16,44
26,47,79,70,94
15,8,73,58,82
46,9,70,23,90
76,9,71,72,17
77,8,23,20,98
78,82,96,87,93
59,19,12,30,74
99,56,52,88,90
78,57,28,74,56
94,9,70,86,30
95,5,61,36,47
88,46,3,10,91
48,47,64,67,35
23,33,75,88,3
15,49,69,73,64
14,66,22,47,21
18,9,47,75,13
80,83,96,44,60
38,49,5,59,80
36,16,16,32,33
22,49,12,2,49
74,30,75,35,42
7,32,75,55,19
15,52,49,40,26
80,13,51,67,82
48,37,6,80,11
70,13,41,62,31
81,69,89,9,47
57,24,15,68,44
90,52,33,41,94
100,44,99,39,10
4,46,49,42,98
77,8,34,19,25
32,53,4,98,73
77,48,5,50,99
74,29,12,18,10
64,45,49,72,93
97,89,54,11,37
84,19,98,30,58
98,48,52,9,8
14,70,63,47,71
13,31,49,68,92
58,86,49,84,76
45,9,92,82,10
10,94,27,31,21
76,85,71,9,89
8,22,21,3,72
98,39,39,22,75
26,86,92,35,98
93,86,2,12,20
100,56,96,61,97
36,1,28,38,51
16,85,72,67,30
3,48,23,50,93
10,1,82,25,45
78,70,34,41,62
42,66,81,31,6
64,20,24,93,53
47,37,11,67,43
22,33,94,99,41
30,69,89,81,75
27,98,55,10,80
40,44,35,88,56
22,20,14,37,11
32,51,74,5,32
69,49,48,47,7
12,65,73,85,46
4,12,54,23,43
36,97,23,63,38
23,67,12,96,30
8,91,60,36,6
7,19,61,87,56
31,93,3,97,10
52,65,48,97,41
56,49,65,84,11
61,37,83,21,61
54,47,27,60,64
46,78,83,24,50
78,20,36,69,14
89,27,37,75,62
44,16,68,25,64
57,43,80,43,49
73,11,26,66,5
12,26,73,17,17
17,65,77,64,43
6,50,70,36,74
32,55,21,63,82
47,89,21,86,85
63,97,49,94,69
37,51,17,9,16
35,80,53,84,38
97,18,24,51,76
28,4,53,76,28
27,44,48,96,10
100,17,69,41,47
29,58,15,41,15
66,44,68,16,49
91,90,79,71,10
50,38,37,34,81
43,54,83,77,24
44,6,97,69,99
51,26,87,82,25
78,53,17,77,26
48,53,44,69,40
67,28,37,77,13
77,57,57,58,82
60,97,6,35,94
18,9,7,2,3
60,100,70,58,31
80,46,66,85,16
78,60,41,26,13
92,69,11,33,84
76,53,12,16,9
71,12,30,14,43
11,59,59,28,22
52,1,4,85,97
79,8,71,17,9
76,87,35,38,71
14,54,27,79,91
77,62,35,73,86
21,73,65,94,25
35,64,18,38,1
39,71,78,3,56
4,69,78,90,89
29,9,81,22,73
61,87,55,66,56
86,4,46,13,68
81,27,47,57,63
93,68,26,91,53
14,91,49,19,15
90,60,5,38,65
36,26,34,77,60
45,47,7,18,18
13,87,34,8,57
64,90,59,63,61
91,72,25,64,32
56,27,79,3,75
15,24,15,61,41
70,45,81,57,30
74,89,29,52,8
68,41,37,77,38
37,67,47,51,45
66,15,54,19,47
68,18,38,4,56
49,24,100,28,69
40,19,76,94,25
61,59,72,99,81
5,59,66,99,44
27,88,20,94,71
51,51,86,53,25
86,76,38,40,58
15,15,95,60,14
92,29,5,23,57
81,14,93,32,5
56,92,32,83,32
35,32,58,24,59
25,40,30,49,13
90,70,62,59,16
24,54,39,78,32
97,94,13,10,65
69,8,12,4,36
62,59,66,95,42
88,54,62,2,77
70,90,58,22,43
83,33,24,47,2
63,9,21,22,75
25,5,61,37,41
58,14,28,7,49
60,11,100,100,52
44,21,97,21,26
31,86,35,41,98
74,94,41,7,71
11,58,8,55,10
89,92,90,93,76
52,11,96,17,46
43,91,50,27,24
63,37,21,41,46
33,41,99,59,29
78,26,95,39,39
61,4,53,94,93
74,88,14,80,92
65,27,49,21,90
25,7,2,52,40
14,16,98,72,93
81,39,89,96,77
34,42,31,11,47
40,56,28,55,3
88,97,73,30,72
13,23,51,55,4
65,75,78,89,5
15,41,77,73,50
82,55,74,88,99
1,99,73,64,50
47,34,85,14,70
32,26,70,29,32
23,20,1,22,10
52,65,1,45,70
55,63,47,39,77
22,86,52,51,60
84,60,49,91,12
78,24,95,59,74
91,75,19,8,38
37,96,44,62,90
15,28,73,63,95
28,75,23,45,46
70,24,16,82,79
39,6,67,95,23
10,89,98,90,25
37,32,14,64,86
23,62,88,88,53
10,97,58,33,73
37,46,56,6,60
38,98,11,10,36
52,32,6,5,70
40,45,17,2,93
20,35,81,45,88
78,72,58,19,2
87,70,82,19,80
99,79,31,59,89
58,55,90,24,52
2,2,39,15,97
80,47,63,9,46
35,24,68,77,64
26,55,24,72,28
89,9,97,85,81
34,91,69,99,58
33,86,8,90,75
48,63,39,18,26
98,80,66,66,64
28,49,78,20,40
60,48,89,87,27
65,15,55,14,56
95,35,38,82,80
30,67,93,81,49
16,59,31,23,10
38,77,27,89,35
29,3,82,82,90
35,58,98,29,16
6,19,90,86,76
43,20,42,81,93
93,71,28,80,6
7,61,60,72,4
99,7,46,67,79
23,21,61,38,26
70,40,6,49,100
24,73,69,1,27
92,6,53,68,22
89,44,97,22,87
48,43,46,13,57
14,32,91,77,15
25,48,72,46,28
39,43,2,64,90
1,77,8,18,24
10,66,37,19,53
99,98,33,1,46
90,48,99,58,65
47,23,81,81,43
97,9,81,1,74
64,46,50,72,79
39,8,56,100,44
39,72,60,57,42
38,67,40,23,100
99,82,87,12,92
98,36,8,44,4
99,2,84,47,81
78,99,97,92,21
19,54,35,15,45
58,65,37,97,93
95,4,54,79,65
18,18,70,90,48
56,47,39,3,45
60,59,83,2,97
44,73,56,33,23
65,24,99,57,29
55,45,10,91,4
5,64,4,84,5
77,88,83,4,84
62,84,27,99,70
56,68,59,93,7
37,48,88,61,72
51,19,32,22,85
90,34,60,74,7
89,8,17,12,12
71,55,13,82,7
4,19,20,75,76
31,34,29,40,94
98,35,74,66,53
32,60,38,18,10
57,60,37,79,20
50,67,13,82,76
57,46,17,47,61
51,31,58,37,49
12,79,94,42,47
96,74,76,45,14
79,99,66,37,93
56,96,70,54,79
39,20,78,4,35
49,7,56,69,92
5,94,43,3,96
52,47,39,7,42
19,89,5,65,94
91,54,72,74,87
42,46,96,74,73
44,71,45,18,36
74,4,21,2,40
77,53,43,21,2
96,89,17,41,11
75,10,39,36,1
33,75,26,19,15
52,73,53,77,90
73,11,83,27,67
10,65,58,28,47
37,32,76,58,39
4,12,74,97,45
29,9,40,72,80
34,89,49,37,63
45,59,44,20,45
97,30,51,18,61
68,46,44,32,40
94,34,30,73,83
31,43,24,81,62
36,63,31,75,34
17,94,93,48,64
64,1,75,15,27
86,99,51,59,54
62,46,35,83,24
20,57,5,12,16
10,2,30,89,90
26,91,29,2,92
72,50,60,40,15
1,7,18,65,24
79,22,56,76,18
24,85,20,76,46
65,88,20,90,60
73,45,60,39,24
83,47,21,27,52
26,17,83,35,42
53,42,8,16,24
89,57,3,49,14
